,Unnamed: 0,Username,Ulasan,Kategori,hasil,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
67,67,Akhmad Tony Adam,sangat nyaman  tempat bersih  tersedia tempat sampah yg memadai juga  rambu peringatan disekitar air terjun juga cukup jelas  cocok buat refreshing keluarga,positif,"['sangat', 'nyaman', 'tempat', 'bersih', 'tersedia', 'tempat', 'sampah', 'yg', 'memadai', 'juga', 'rambu', 'peringatan', 'disekitar', 'air', 'terjun', 'juga', 'cukup', 'jelas', 'cocok', 'buat', 'refreshing', 'keluarga']","['sangat', 'nyaman', 'tempat', 'bersih', 'tersedia', 'tempat', 'sampah', 'yg', 'memadai', 'juga', 'rambu', 'peringatan', 'disekitar', 'air', 'terjun', 'juga', 'cukup', 'jelas', 'cocok', 'buat', 'refreshing', 'keluarga']","['nyaman', 'bersih', 'tersedia', 'sampah', 'yg', 'memadai', 'rambu', 'peringatan', 'disekitar', 'air', 'terjun', 'cocok', 'refreshing', 'keluarga']","['nyaman', 'bersih', 'tersedia', 'sampah', 'yg', 'memadai', 'rambu', 'peringatan', 'disekitar', 'air', 'terjun', 'cocok', 'refreshing', 'keluarga']","['nyaman', 'bersih', 'sedia', 'sampah', 'yg', 'pada', 'rambu', 'ingat', 'sekitar', 'air', 'terjun', 'cocok', 'refreshing', 'keluarga']"
68,68,roes diyan,lumayan rame tempat bagus ada taman kelinci ada sewa kuda buat anak kecil  ,positif,"['lumayan', 'rame', 'tempat', 'bagus', 'ada', 'taman', 'kelinci', 'ada', 'sewa', 'kuda', 'buat', 'anak', 'kecil']","['lumayan', 'rame', 'tempat', 'bagus', 'ada', 'taman', 'kelinci', 'ada', 'sewa', 'kuda', 'buat', 'anak', 'kecil']","['lumayan', 'rame', 'bagus', 'taman', 'kelinci', 'sewa', 'kuda', 'anak']","['lumayan', 'rame', 'bagus', 'taman', 'kelinci', 'sewa', 'kuda', 'anak']","['lumayan', 'rame', 'bagus', 'taman', 'kelinci', 'sewa', 'kuda', 'anak']"
69,69,Budug asu,tempat nya sangat keren htm   biaya parkir  biaya penataan parkir  dan biaya asuransi  rupiah jadi total per orang   disana terdapat banyak pilihan wisata selain air terjun ada jg camping ground serta taman kelinci yg harus bayar lagi seharga  ribu ,positif,"['tempat', 'nya', 'sangat', 'keren', 'htm', 'biaya', 'parkir', 'biaya', 'penataan', 'parkir', 'dan', 'biaya', 'asuransi', 'rupiah', 'jadi', 'total', 'per', 'orang', 'disana', 'terdapat', 'banyak', 'pilihan', 'wisata', 'selain', 'air', 'terjun', 'ada', 'jg', 'camping', 'ground', 'serta', 'taman', 'kelinci', 'yg', 'harus', 'bayar', 'lagi', 'seharga', 'ribu']","['tempat', 'nya', 'sangat', 'keren', 'htm', 'biaya', 'parkir', 'biaya', 'penataan', 'parkir', 'dan', 'biaya', 'asuransi', 'rupiah', 'jadi', 'total', 'per', 'orang', 'disana', 'terdapat', 'banyak', 'pilihan', 'wisata', 'selain', 'air', 'terjun', 'ada', 'jg', 'camping', 'ground', 'serta', 'taman', 'kelinci', 'yg', 'harus', 'bayar', 'lagi', 'seharga', 'ribu']","['nya', 'keren', 'htm', 'biaya', 'parkir', 'biaya', 'penataan', 'parkir', 'biaya', 'asuransi', 'rupiah', 'total', 'orang', 'disana', 'pilihan', 'wisata', 'air', 'terjun', 'jg', 'camping', 'ground', 'taman', 'kelinci', 'yg', 'bayar', 'seharga', 'ribu']","['nya', 'keren', 'htm', 'biaya', 'parkir', 'biaya', 'penataan', 'parkir', 'biaya', 'asuransi', 'rupiah', 'total', 'orang', 'disana', 'pilihan', 'wisata', 'air', 'terjun', 'jg', 'camping', 'ground', 'taman', 'kelinci', 'yg', 'bayar', 'seharga', 'ribu']","['nya', 'keren', 'htm', 'biaya', 'parkir', 'biaya', 'tata', 'parkir', 'biaya', 'asuransi', 'rupiah', 'total', 'orang', 'sana', 'pilih', 'wisata', 'air', 'terjun', 'jg', 'camping', 'ground', 'taman', 'kelinci', 'yg', 'bayar', 'harga', 'ribu']"
70,70,Trisna Sandy,sekarang lebih enak suasananya  bersih ada rmpt berkemah ya tp sayang tmpt mcknya tdk di rawat,positif,"['sekarang', 'lebih', 'enak', 'suasananya', 'bersih', 'ada', 'rmpt', 'berkemah', 'ya', 'tp', 'sayang', 'tmpt', 'mcknya', 'tdk', 'di', 'rawat']","['sekarang', 'lebih', 'enak', 'suasananya', 'bersih', 'ada', 'rmpt', 'berkemah', 'ya', 'tp', 'sayang', 'tmpt', 'mcknya', 'tdk', 'di', 'rawat']","['enak', 'suasananya', 'bersih', 'rmpt', 'berkemah', 'ya', 'tp', 'sayang', 'tmpt', 'mcknya', 'tdk', 'rawat']","['enak', 'suasananya', 'bersih', 'rmpt', 'berkemah', 'ya', 'tp', 'sayang', 'tmpt', 'mcknya', 'tdk', 'rawat']","['enak', 'suasana', 'bersih', 'rmpt', 'kemah', 'ya', 'tp', 'sayang', 'tmpt', 'mcknya', 'tdk', 'rawat']"
71,71,Poltak Siagian,sangat bagus untuk healing karena camping  ditempat sejuk dan segar sangat bermanfaat bagi tubuh ,positif,"['sangat', 'bagus', 'untuk', 'healing', 'karena', 'camping', 'ditempat', 'sejuk', 'dan', 'segar', 'sangat', 'bermanfaat', 'bagi', 'tubuh']","['sangat', 'bagus', 'untuk', 'healing', 'karena', 'camping', 'ditempat', 'sejuk', 'dan', 'segar', 'sangat', 'bermanfaat', 'bagi', 'tubuh']","['bagus', 'healing', 'camping', 'ditempat', 'sejuk', 'segar', 'bermanfaat', 'tubuh']","['bagus', 'healing', 'camping', 'ditempat', 'sejuk', 'segar', 'bermanfaat', 'tubuh']","['bagus', 'healing', 'camping', 'tempat', 'sejuk', 'segar', 'manfaat', 'tubuh']"
72,72,Hadi Poerwanto,tempatnya cukup bagus dan bersih    hawa sejuk dan segar   htm weekdays k htm weekend   k,positif,"['tempatnya', 'cukup', 'bagus', 'dan', 'bersih', 'hawa', 'sejuk', 'dan', 'segar', 'htm', 'weekdays', 'k', 'htm', 'weekend', 'k']","['tempatnya', 'cukup', 'bagus', 'dan', 'bersih', 'hawa', 'sejuk', 'dan', 'segar', 'htm', 'weekdays', 'k', 'htm', 'weekend', 'k']","['tempatnya', 'bagus', 'bersih', 'hawa', 'sejuk', 'segar', 'htm', 'weekdays', 'k', 'htm', 'weekend', 'k']","['tempatnya', 'bagus', 'bersih', 'hawa', 'sejuk', 'segar', 'htm', 'weekdays', 'k', 'htm', 'weekend', 'k']","['tempat', 'bagus', 'bersih', 'hawa', 'sejuk', 'segar', 'htm', 'weekdays', 'k', 'htm', 'weekend', 'k']"
73,73,Dodik eko Purwanto,alami dan natural sangat terasa sekali setelah kita memasuki area air terjun  tempat wisata keluarga yg aman dan bisa dijadikan edukasi bagi anak,positif,"['alami', 'dan', 'natural', 'sangat', 'terasa', 'sekali', 'setelah', 'kita', 'memasuki', 'area', 'air', 'terjun', 'tempat', 'wisata', 'keluarga', 'yg', 'aman', 'dan', 'bisa', 'dijadikan', 'edukasi', 'bagi', 'anak']","['alami', 'dan', 'natural', 'sangat', 'terasa', 'sekali', 'setelah', 'kita', 'memasuki', 'area', 'air', 'terjun', 'tempat', 'wisata', 'keluarga', 'yg', 'aman', 'dan', 'bisa', 'dijadikan', 'edukasi', 'bagi', 'anak']","['alami', 'natural', 'memasuki', 'area', 'air', 'terjun', 'wisata', 'keluarga', 'yg', 'aman', 'dijadikan', 'edukasi', 'anak']","['alami', 'natural', 'memasuki', 'area', 'air', 'terjun', 'wisata', 'keluarga', 'yg', 'aman', 'dijadikan', 'edukasi', 'anak']","['alami', 'natural', 'pasuk', 'area', 'air', 'terjun', 'wisata', 'keluarga', 'yg', 'aman', 'jadi', 'edukasi', 'anak']"
74,74,Afan Channel,pemandangan bagus  pengelola profesional  dari trawas dekat dan tidak sulit  utk camping luas fasilitas lengkap  ,positif,"['pemandangan', 'bagus', 'pengelola', 'profesional', 'dari', 'trawas', 'dekat', 'dan', 'tidak', 'sulit', 'utk', 'camping', 'luas', 'fasilitas', 'lengkap']","['pemandangan', 'bagus', 'pengelola', 'profesional', 'dari', 'trawas', 'dekat', 'dan', 'tidak', 'sulit', 'utk', 'camping', 'luas', 'fasilitas', 'lengkap']","['pemandangan', 'bagus', 'pengelola', 'profesional', 'trawas', 'sulit', 'utk', 'camping', 'luas', 'fasilitas', 'lengkap']","['pemandangan', 'bagus', 'pengelola', 'profesional', 'trawas', 'sulit', 'utk', 'camping', 'luas', 'fasilitas', 'lengkap']","['pandang', 'bagus', 'kelola', 'profesional', 'trawas', 'sulit', 'utk', 'camping', 'luas', 'fasilitas', 'lengkap']"
75,75,Faris Firmansyah,bisa dibilang air terjun paling ramah kaki karena jarak dari air terjun ke parkiran deket banget suasananya sejuk dan disini banyak sungai yang bisa dibuat kecek main air paling enak sungai dibawah jembatan setelahnya warung makan paling  ,positif,"['bisa', 'dibilang', 'air', 'terjun', 'paling', 'ramah', 'kaki', 'karena', 'jarak', 'dari', 'air', 'terjun', 'ke', 'parkiran', 'deket', 'banget', 'suasananya', 'sejuk', 'dan', 'disini', 'banyak', 'sungai', 'yang', 'bisa', 'dibuat', 'kecek', 'main', 'air', 'paling', 'enak', 'sungai', 'dibawah', 'jembatan', 'setelahnya', 'warung', 'makan', 'paling']","['bisa', 'dibilang', 'air', 'terjun', 'paling', 'ramah', 'kaki', 'karena', 'jarak', 'dari', 'air', 'terjun', 'ke', 'parkiran', 'deket', 'banget', 'suasananya', 'sejuk', 'dan', 'disini', 'banyak', 'sungai', 'yang', 'bisa', 'dibuat', 'kecek', 'main', 'air', 'paling', 'enak', 'sungai', 'dibawah', 'jembatan', 'setelahnya', 'warung', 'makan', 'paling']","['dibilang', 'air', 'terjun', 'ramah', 'kaki', 'jarak', 'air', 'terjun', 'parkiran', 'deket', 'banget', 'suasananya', 'sejuk', 'sungai', 'kecek', 'main', 'air', 'enak', 'sungai', 'dibawah', 'jembatan', 'setelahnya', 'warung', 'makan']","['dibilang', 'air', 'terjun', 'ramah', 'kaki', 'jarak', 'air', 'terjun', 'parkiran', 'deket', 'banget', 'suasananya', 'sejuk', 'sungai', 'kecek', 'main', 'air', 'enak', 'sungai', 'dibawah', 'jembatan', 'setelahnya', 'warung', 'makan']","['bilang', 'air', 'terjun', 'ramah', 'kaki', 'jarak', 'air', 'terjun', 'parkir', 'deket', 'banget', 'suasana', 'sejuk', 'sungai', 'kecek', 'main', 'air', 'enak', 'sungai', 'bawah', 'jembatan', 'telah', 'warung', 'makan']"
76,76,Nadia Mardhiyah,masuk gapura bayar tiket dan parkir motor ada struknya  tapi masuk area parkiran masih harus bayar parkir lagi  sudah ditanyakan kenapa kok bayar lagi  jawabnya ada retribusi parkir dikasih karcis parkir lagi   ,negatif,"['masuk', 'gapura', 'bayar', 'tiket', 'dan', 'parkir', 'motor', 'ada', 'struknya', 'tapi', 'masuk', 'area', 'parkiran', 'masih', 'harus', 'bayar', 'parkir', 'lagi', 'sudah', 'ditanyakan', 'kenapa', 'kok', 'bayar', 'lagi', 'jawabnya', 'ada', 'retribusi', 'parkir', 'dikasih', 'karcis', 'parkir', 'lagi']","['masuk', 'gapura', 'bayar', 'tiket', 'dan', 'parkir', 'motor', 'ada', 'struknya', 'tapi', 'masuk', 'area', 'parkiran', 'masih', 'harus', 'bayar', 'parkir', 'lagi', 'sudah', 'ditanyakan', 'kenapa', 'kok', 'bayar', 'lagi', 'jawabnya', 'ada', 'retribusi', 'parkir', 'dikasih', 'karcis', 'parkir', 'lagi']","['masuk', 'gapura', 'bayar', 'tiket', 'parkir', 'motor', 'struknya', 'masuk', 'area', 'parkiran', 'bayar', 'parkir', 'bayar', 'retribusi', 'parkir', 'dikasih', 'karcis', 'parkir']","['masuk', 'gapura', 'bayar', 'tiket', 'parkir', 'motor', 'struknya', 'masuk', 'area', 'parkiran', 'bayar', 'parkir', 'bayar', 'retribusi', 'parkir', 'dikasih', 'karcis', 'parkir']","['masuk', 'gapura', 'bayar', 'tiket', 'parkir', 'motor', 'struknya', 'masuk', 'area', 'parkir', 'bayar', 'parkir', 'bayar', 'retribusi', 'parkir', 'kasih', 'karcis', 'parkir']"
77,77,akbar gbr123,alhamdulillah bisa camping lagi di bumi perkemahan dlundung bersama keluarga tercinta  tempat nya bagus dan asyik    camping bonus air terjun dan bisa ke taman kelinci dan omah camping     pokoknya siiiippp camping disini ada wifi nya juga  ,positif,"['alhamdulillah', 'bisa', 'camping', 'lagi', 'di', 'bumi', 'perkemahan', 'dlundung', 'bersama', 'keluarga', 'tercinta', 'tempat', 'nya', 'bagus', 'dan', 'asyik', 'camping', 'bonus', 'air', 'terjun', 'dan', 'bisa', 'ke', 'taman', 'kelinci', 'dan', 'omah', 'camping', 'pokoknya', 'siiiippp', 'camping', 'disini', 'ada', 'wifi', 'nya', 'juga']","['alhamdulillah', 'bisa', 'camping', 'lagi', 'di', 'bumi', 'perkemahan', 'dlundung', 'bersama', 'keluarga', 'tercinta', 'tempat', 'nya', 'bagus', 'dan', 'asyik', 'camping', 'bonus', 'air', 'terjun', 'dan', 'bisa', 'ke', 'taman', 'kelinci', 'dan', 'omah', 'camping', 'pokoknya', 'siiiippp', 'camping', 'disini', 'ada', 'wifi', 'nya', 'juga']","['alhamdulillah', 'camping', 'bumi', 'perkemahan', 'dlundung', 'keluarga', 'tercinta', 'nya', 'bagus', 'asyik', 'camping', 'bonus', 'air', 'terjun', 'taman', 'kelinci', 'omah', 'camping', 'pokoknya', 'siiiippp', 'camping', 'wifi', 'nya']","['alhamdulillah', 'camping', 'bumi', 'perkemahan', 'dlundung', 'keluarga', 'tercinta', 'nya', 'bagus', 'asyik', 'camping', 'bonus', 'air', 'terjun', 'taman', 'kelinci', 'omah', 'camping', 'pokoknya', 'siiiippp', 'camping', 'wifi', 'nya']","['alhamdulillah', 'camping', 'bumi', 'kemah', 'dlundung', 'keluarga', 'cinta', 'nya', 'bagus', 'asyik', 'camping', 'bonus', 'air', 'terjun', 'taman', 'kelinci', 'omah', 'camping', 'pokok', 'siiiippp', 'camping', 'wifi', 'nya']"
78,78,Eri Ns,tempat yg bener bagus banget    tiket masuknya juga murah   pokoknya gak bakal nyesel ke dlundung waterfall    ,positif,"['tempat', 'yg', 'bener', 'bagus', 'banget', 'tiket', 'masuknya', 'juga', 'murah', 'pokoknya', 'gak', 'bakal', 'nyesel', 'ke', 'dlundung', 'waterfall']","['tempat', 'yg', 'bener', 'bagus', 'banget', 'tiket', 'masuknya', 'juga', 'murah', 'pokoknya', 'gak', 'bakal', 'nyesel', 'ke', 'dlundung', 'waterfall']","['yg', 'bener', 'bagus', 'banget', 'tiket', 'masuknya', 'murah', 'pokoknya', 'gak', 'nyesel', 'dlundung', 'waterfall']","['yg', 'bener', 'bagus', 'banget', 'tiket', 'masuknya', 'murah', 'pokoknya', 'gak', 'nyesel', 'dlundung', 'waterfall']","['yg', 'bener', 'bagus', 'banget', 'tiket', 'masuk', 'murah', 'pokok', 'gak', 'nyesel', 'dlundung', 'waterfall']"
79,79,Affita Anggraini,tempat kemah camping keluarga yg pass dan cocokk bgt untuk yg pgn menikmati semalam bertenda bersama keluarga  paginya jalan naik ke atas air terjun  bnyk persewaaan tenda  recommend camping d area terdekat dgn air terjun  terasa gemercikk air terjun yg mengaliri sungai kecil d sebelah tenda       ,positif,"['tempat', 'kemah', 'camping', 'keluarga', 'yg', 'pass', 'dan', 'cocokk', 'bgt', 'untuk', 'yg', 'pgn', 'menikmati', 'semalam', 'bertenda', 'bersama', 'keluarga', 'paginya', 'jalan', 'naik', 'ke', 'atas', 'air', 'terjun', 'bnyk', 'persewaaan', 'tenda', 'recommend', 'camping', 'd', 'area', 'terdekat', 'dgn', 'air', 'terjun', 'terasa', 'gemercikk', 'air', 'terjun', 'yg', 'mengaliri', 'sungai', 'kecil', 'd', 'sebelah', 'tenda']","['tempat', 'kemah', 'camping', 'keluarga', 'yg', 'pass', 'dan', 'cocokk', 'bgt', 'untuk', 'yg', 'pgn', 'menikmati', 'semalam', 'bertenda', 'bersama', 'keluarga', 'paginya', 'jalan', 'naik', 'ke', 'atas', 'air', 'terjun', 'bnyk', 'persewaaan', 'tenda', 'recommend', 'camping', 'd', 'area', 'terdekat', 'dgn', 'air', 'terjun', 'terasa', 'gemercikk', 'air', 'terjun', 'yg', 'mengaliri', 'sungai', 'kecil', 'd', 'sebelah', 'tenda']","['kemah', 'camping', 'keluarga', 'yg', 'pass', 'cocokk', 'bgt', 'yg', 'pgn', 'menikmati', 'semalam', 'bertenda', 'keluarga', 'paginya', 'jalan', 'air', 'terjun', 'bnyk', 'persewaaan', 'tenda', 'recommend', 'camping', 'd', 'area', 'terdekat', 'dgn', 'air', 'terjun', 'gemercikk', 'air', 'terjun', 'yg', 'mengaliri', 'sungai', 'd', 'sebelah', 'tenda']","['kemah', 'camping', 'keluarga', 'yg', 'pass', 'cocokk', 'bgt', 'yg', 'pgn', 'menikmati', 'semalam', 'bertenda', 'keluarga', 'paginya', 'jalan', 'air', 'terjun', 'bnyk', 'persewaaan', 'tenda', 'recommend', 'camping', 'd', 'area', 'terdekat', 'dgn', 'air', 'terjun', 'gemercikk', 'air', 'terjun', 'yg', 'mengaliri', 'sungai', 'd', 'sebelah', 'tenda']","['kemah', 'camping', 'keluarga', 'yg', 'pass', 'cocokk', 'bgt', 'yg', 'pgn', 'nikmat', 'malam', 'tenda', 'keluarga', 'pagi', 'jalan', 'air', 'terjun', 'bnyk', 'persewaaan', 'tenda', 'recommend', 'camping', 'd', 'area', 'dekat', 'dgn', 'air', 'terjun', 'gemercikk', 'air', 'terjun', 'yg', 'alir', 'sungai', 'd', 'belah', 'tenda']"
80,80,Aries seyra Go,tempatnya bagus apalagi masih ada yg alami atasnya lagi bisa dikunjungi kalau musim hujan udah selesai,positif,"['tempatnya', 'bagus', 'apalagi', 'masih', 'ada', 'yg', 'alami', 'atasnya', 'lagi', 'bisa', 'dikunjungi', 'kalau', 'musim', 'hujan', 'udah', 'selesai']","['tempatnya', 'bagus', 'apalagi', 'masih', 'ada', 'yg', 'alami', 'atasnya', 'lagi', 'bisa', 'dikunjungi', 'kalau', 'musim', 'hujan', 'udah', 'selesai']","['tempatnya', 'bagus', 'yg', 'alami', 'atasnya', 'dikunjungi', 'musim', 'hujan', 'udah', 'selesai']","['tempatnya', 'bagus', 'yg', 'alami', 'atasnya', 'dikunjungi', 'musim', 'hujan', 'udah', 'selesai']","['tempat', 'bagus', 'yg', 'alami', 'atas', 'kunjung', 'musim', 'hujan', 'udah', 'selesai']"
81,81,Tutik Mutmainnatul Jannah,wisatanya bagus  makanannya mahal  dan tiap masuk parkir harus bayar beberapa kali  tiap masuk wisatanya jg bayar wkwkw,positif,"['wisatanya', 'bagus', 'makanannya', 'mahal', 'dan', 'tiap', 'masuk', 'parkir', 'harus', 'bayar', 'beberapa', 'kali', 'tiap', 'masuk', 'wisatanya', 'jg', 'bayar', 'wkwkw']","['wisatanya', 'bagus', 'makanannya', 'mahal', 'dan', 'tiap', 'masuk', 'parkir', 'harus', 'bayar', 'beberapa', 'kali', 'tiap', 'masuk', 'wisatanya', 'jg', 'bayar', 'wkwkw']","['wisatanya', 'bagus', 'makanannya', 'mahal', 'masuk', 'parkir', 'bayar', 'kali', 'masuk', 'wisatanya', 'jg', 'bayar', 'wkwkw']","['wisatanya', 'bagus', 'makanannya', 'mahal', 'masuk', 'parkir', 'bayar', 'kali', 'masuk', 'wisatanya', 'jg', 'bayar', 'wkwkw']","['wisata', 'bagus', 'makan', 'mahal', 'masuk', 'parkir', 'bayar', 'kali', 'masuk', 'wisata', 'jg', 'bayar', 'wkwkw']"
82,82,shandy rico,sejuk tapi karena paling terkenal di trawas jadi tiap weekend rame banget gk bisa leluasa nikmati liburan karena banyak pengunjung,negatif,"['sejuk', 'tapi', 'karena', 'paling', 'terkenal', 'di', 'trawas', 'jadi', 'tiap', 'weekend', 'rame', 'banget', 'gk', 'bisa', 'leluasa', 'nikmati', 'liburan', 'karena', 'banyak', 'pengunjung']","['sejuk', 'tapi', 'karena', 'paling', 'terkenal', 'di', 'trawas', 'jadi', 'tiap', 'weekend', 'rame', 'banget', 'gk', 'bisa', 'leluasa', 'nikmati', 'liburan', 'karena', 'banyak', 'pengunjung']","['sejuk', 'terkenal', 'trawas', 'weekend', 'rame', 'banget', 'gk', 'leluasa', 'nikmati', 'liburan', 'pengunjung']","['sejuk', 'terkenal', 'trawas', 'weekend', 'rame', 'banget', 'gk', 'leluasa', 'nikmati', 'liburan', 'pengunjung']","['sejuk', 'kenal', 'trawas', 'weekend', 'rame', 'banget', 'gk', 'leluasa', 'nikmat', 'libur', 'unjung']"
83,83,Pujianto,air terjun  dan tempat wisata  berbagai macam makanan pun ada  untuk camp juga ada  tapi sayangnya  bayar arkir nya x  pertama diloket masuk sudah ada karcis parkir  masuk lokasi ada bayar parkir lagi ,negatif,"['air', 'terjun', 'dan', 'tempat', 'wisata', 'berbagai', 'macam', 'makanan', 'pun', 'ada', 'untuk', 'camp', 'juga', 'ada', 'tapi', 'sayangnya', 'bayar', 'arkir', 'nya', 'x', 'pertama', 'diloket', 'masuk', 'sudah', 'ada', 'karcis', 'parkir', 'masuk', 'lokasi', 'ada', 'bayar', 'parkir', 'lagi']","['air', 'terjun', 'dan', 'tempat', 'wisata', 'berbagai', 'macam', 'makanan', 'pun', 'ada', 'untuk', 'camp', 'juga', 'ada', 'tapi', 'sayangnya', 'bayar', 'arkir', 'nya', 'x', 'pertama', 'diloket', 'masuk', 'sudah', 'ada', 'karcis', 'parkir', 'masuk', 'lokasi', 'ada', 'bayar', 'parkir', 'lagi']","['air', 'terjun', 'wisata', 'makanan', 'camp', 'sayangnya', 'bayar', 'arkir', 'nya', 'x', 'diloket', 'masuk', 'karcis', 'parkir', 'masuk', 'lokasi', 'bayar', 'parkir']","['air', 'terjun', 'wisata', 'makanan', 'camp', 'sayangnya', 'bayar', 'arkir', 'nya', 'x', 'diloket', 'masuk', 'karcis', 'parkir', 'masuk', 'lokasi', 'bayar', 'parkir']","['air', 'terjun', 'wisata', 'makan', 'camp', 'sayang', 'bayar', 'arkir', 'nya', 'x', 'loket', 'masuk', 'karcis', 'parkir', 'masuk', 'lokasi', 'bayar', 'parkir']"
84,84,kurnia story,tempatnya nyaman dingin murah meriah ada cafe dan campingnya juga,positif,"['tempatnya', 'nyaman', 'dingin', 'murah', 'meriah', 'ada', 'cafe', 'dan', 'campingnya', 'juga']","['tempatnya', 'nyaman', 'dingin', 'murah', 'meriah', 'ada', 'cafe', 'dan', 'campingnya', 'juga']","['tempatnya', 'nyaman', 'dingin', 'murah', 'meriah', 'cafe', 'campingnya']","['tempatnya', 'nyaman', 'dingin', 'murah', 'meriah', 'cafe', 'campingnya']","['tempat', 'nyaman', 'dingin', 'murah', 'riah', 'cafe', 'camping']"
85,85,Evy Noviana,keren banget cantik masya allah   enaknya bermandi di sini airnya segar  harga tiket masuknya juga murah kok klo gk salah rb org ,positif,"['keren', 'banget', 'cantik', 'masya', 'allah', 'enaknya', 'bermandi', 'di', 'sini', 'airnya', 'segar', 'harga', 'tiket', 'masuknya', 'juga', 'murah', 'kok', 'klo', 'gk', 'salah', 'rb', 'org']","['keren', 'banget', 'cantik', 'masya', 'allah', 'enaknya', 'bermandi', 'di', 'sini', 'airnya', 'segar', 'harga', 'tiket', 'masuknya', 'juga', 'murah', 'kok', 'klo', 'gk', 'salah', 'rb', 'org']","['keren', 'banget', 'cantik', 'masya', 'allah', 'enaknya', 'bermandi', 'airnya', 'segar', 'harga', 'tiket', 'masuknya', 'murah', 'klo', 'gk', 'salah', 'rb', 'org']","['keren', 'banget', 'cantik', 'masya', 'allah', 'enaknya', 'bermandi', 'airnya', 'segar', 'harga', 'tiket', 'masuknya', 'murah', 'klo', 'gk', 'salah', 'rb', 'org']","['keren', 'banget', 'cantik', 'masya', 'allah', 'enak', 'mandi', 'air', 'segar', 'harga', 'tiket', 'masuk', 'murah', 'klo', 'gk', 'salah', 'rb', 'org']"
86,86,Agus surahman,gwe ngadem asik   cuman klo parkir r kejauhan pdhal didlm dkt lokasi msih banyak yg kosong   gpp ws buat pengalaman rekom lokasinya ok   ,positif,"['gwe', 'ngadem', 'asik', 'cuman', 'klo', 'parkir', 'r', 'kejauhan', 'pdhal', 'didlm', 'dkt', 'lokasi', 'msih', 'banyak', 'yg', 'kosong', 'gpp', 'ws', 'buat', 'pengalaman', 'rekom', 'lokasinya', 'ok']","['gwe', 'ngadem', 'asik', 'cuman', 'klo', 'parkir', 'r', 'kejauhan', 'pdhal', 'didlm', 'dkt', 'lokasi', 'msih', 'banyak', 'yg', 'kosong', 'gpp', 'ws', 'buat', 'pengalaman', 'rekom', 'lokasinya', 'ok']","['gwe', 'ngadem', 'asik', 'cuman', 'klo', 'parkir', 'r', 'kejauhan', 'pdhal', 'didlm', 'dkt', 'lokasi', 'msih', 'yg', 'kosong', 'gpp', 'ws', 'pengalaman', 'rekom', 'lokasinya', 'ok']","['gwe', 'ngadem', 'asik', 'cuman', 'klo', 'parkir', 'r', 'kejauhan', 'pdhal', 'didlm', 'dkt', 'lokasi', 'msih', 'yg', 'kosong', 'gpp', 'ws', 'pengalaman', 'rekom', 'lokasinya', 'ok']","['gwe', 'ngadem', 'asik', 'cuman', 'klo', 'parkir', 'r', 'jauh', 'pdhal', 'didlm', 'dkt', 'lokasi', 'msih', 'yg', 'kosong', 'gpp', 'ws', 'alam', 'rekom', 'lokasi', 'ok']"
87,87,Indra Prima,tempat yang cocok untuk melepas penat  udara yang sejuk  pemandangan indah  fasilitas lengkap ,positif,"['tempat', 'yang', 'cocok', 'untuk', 'melepas', 'penat', 'udara', 'yang', 'sejuk', 'pemandangan', 'indah', 'fasilitas', 'lengkap']","['tempat', 'yang', 'cocok', 'untuk', 'melepas', 'penat', 'udara', 'yang', 'sejuk', 'pemandangan', 'indah', 'fasilitas', 'lengkap']","['cocok', 'melepas', 'penat', 'udara', 'sejuk', 'pemandangan', 'indah', 'fasilitas', 'lengkap']","['cocok', 'melepas', 'penat', 'udara', 'sejuk', 'pemandangan', 'indah', 'fasilitas', 'lengkap']","['cocok', 'lepas', 'penat', 'udara', 'sejuk', 'pandang', 'indah', 'fasilitas', 'lengkap']"
